Row_Number,Customer_ID,Last_Name,Credit Score,Country,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard?,IsActiveMember,Estimated Salary,ExitedFromBank?
1,15634602,Hargrave,619,France,Female,42,2,$0.00 ,1,1,1,"$101,348.88",1
2,15647311,Hill,608,Spain,Female,41,1,"$83,807.86 ",1,0,1,"$112,542.58",0
3,15619304,Onio,502,France,Female,42,8,"$159,660.80 ",3,1,0,"$113,931.57",1
4,15701354,Boni,699,France,Female,39,1,$0.00 ,2,0,0,"$93,826.63",0
5,15737888,Mitchell,850,Spain,Female,43,2,"$125,510.82 ",1,1,1,"$79,084.10",0
6,15574012,Chu,645,Spain,Male,44,8,"$113,755.78 ",2,1,0,"$149,756.71",1
7,15592531,Bartlett,822,France,Male,50,7,$0.00 ,2,1,1,"$10,062.80",0
8,15656148,Obinna,376,Germany,Female,29,4,"$115,046.74 ",4,1,0,"$119,346.88",1
9,15792365,He,501,France,Male,44,4,"$142,051.07 ",2,0,1,"$74,940.50",0
10,15592389,H?,684,France,Male,27,2,"$134,603.88 ",1,1,1,"$71,725.73",0
11,15767821,Bearce,528,France,Male,31,6,"$102,016.72 ",2,0,0,"$80,181.12",0
12,15737173,Andrews,497,Spain,NULL,24,3,$0.00 ,2,1,0,"$76,390.01",0
13,15632264,Kay,476,FR,Female,34,10,$0.00 ,2,1,0,"$26,260.98",0
14,15691483,Chin,549,FR,Female,25,5,$0.00 ,2,0,0,"$190,857.79",0
15,15600882,Scott,635,Spain,Female,35,7,$0.00 ,2,1,1,"$65,951.65",0
16,15643966,Goforth,616,Germany,Male,45,3,"$143,129.41 ",2,0,1,"$64,327.26",0
17,15737452,Romeo,653,Germany,Male,58,1,"$132,602.88 ",1,1,0,"$5,097.67",1
18,15788218,Henderson,549,Spain,Female,24,9,$0.00 ,2,1,1,"$14,406.41",0
19,15661507,Muldrow,587,Spain,Male,45,6,$0.00 ,1,0,0,"$158,684.81",0
20,15568982,Hao,726,FR,Female,24,6,$0.00 ,2,1,1,"$54,724.03",0
21,15577657,McDonald,732,FR,Male,41,8,$0.00 ,2,1,1,"$170,886.17",0
22,15597945,Dellucci,636,Spain,Female,32,8,$0.00 ,2,1,0,,0
23,15699309,Gerasimov,510,Spain,Female,NULL,4,$0.00 ,1,1,0,"$118,913.53",1
24,15725737,Mosman,669,FR,Male,46,3,$0.00 ,2,0,1,"$8,487.75",0
25,15625047,Yen,846,FR,Female,38,5,$0.00 ,1,1,1,"$187,616.16",0
26,15738191,Maclean,577,FR,Male,25,3,$0.00 ,2,0,1,"$124,508.29",0
27,15736816,Young,756,Germany,Male,36,2,"$136,815.64 ",1,1,1,"$170,041.95",0
28,15700772,Nebechi,571,FR,Male,44,9,$0.00 ,2,0,0,"$38,433.35",0
29,15728693,McWilliams,574,Germany,Female,43,3,"$141,349.43 ",1,1,1,"$100,187.43",0
30,15656300,Lucciano,411,FR,Male,29,0,"$59,697.17 ",2,1,1,"$53,483.21",0
31,15589475,Azikiwe,591,Spain,Female,39,3,$0.00 ,3,1,0,"$140,469.38",1
32,15706552,Odinakachukwu,533,FR,Male,36,7,"$85,311.70 ",1,0,1,"$156,731.91",0
33,15750181,Sanderson,553,Germany,Male,41,9,"$110,112.54 ",2,0,0,"$81,898.81",0
34,15659428,Maggard,520,Spain,Female,42,6,$0.00 ,2,1,1,"$34,410.55",0
35,15732963,Clements,722,Spain,Female,29,9,$0.00 ,2,1,1,"$142,033.07",0
36,15794171,Lombardo,475,FR,Female,45,0,"$134,264.04 ",1,1,0,"$27,822.99",1
37,15788448,Watson,490,ES,Male,31,3,"$145,260.23 ",1,0,1,"$114,066.77",0
38,15729599,Lorenzo,804,ES,Male,33,7,"$76,548.60 ",1,0,1,"$98,453.45",0
39,15717426,Armstrong,850,FR,Male,36,7,$0.00 ,1,1,1,"$40,812.90",0
40,15585768,Cameron,582,Germany,Male,41,6,"$70,349.48 ",2,0,1,"$178,074.04",0
41,15619360,Hsiao,472,ES,Male,40,4,$0.00 ,1,1,0,"$70,154.22",0
42,15738148,Clarke,465,FR,Female,51,8,"$122,522.32 ",1,0,0,"$181,297.65",1
43,15687946,Osborne,556,FR,Female,61,2,"$117,419.35 ",1,1,1,"$94,153.83",0
44,15755196,Lavine,834,FR,Female,49,2,"$131,394.56 ",1,0,0,"$194,365.76",1
45,15684171,Bianchi,660,ES,Female,61,5,"$155,931.11 ",1,1,1,"$158,338.39",0
46,15754849,Tyler,776,Germany,Female,32,4,"$109,421.13 ",2,1,1,"$126,517.46",0
47,15602280,Martin,829,Germany,Female,27,9,"$112,045.67 ",1,1,1,"$119,708.21",1
48,15771573,Okagbue,637,Germany,Female,39,9,"$137,843.80 ",1,1,1,"$117,622.80",1
49,15766205,Yin,550,Germany,Male,38,2,"$103,391.38 ",1,0,1,"$90,878.13",0
50,15771873,Buccho,776,Germany,Female,37,2,"$103,769.22 ",2,1,0,"$194,099.12",0
51,15616550,Chidiebele,698,Germany,Male,44,10,"$116,363.37 ",2,1,0,"$198,059.16",0
52,15768193,Trevisani,585,DE,Male,36,5,"$146,050.97 ",2,0,0,"$86,424.57",0
53,15683553,O'Brien,788,FR,Female,33,5,$0.00 ,2,0,0,"$116,978.19",0
54,15702298,Parkhill,655,DE,Male,41,8,"$125,561.97 ",1,0,0,"$164,040.94",1
